"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","12010","TOWN OF HANEY - CRAWFORD COUNTY","11","9","4","2"
"2021 Spring Primary","12012","TOWN OF MARIETTA - CRAWFORD COUNTY","8","0","0",""
"2021 Spring Primary","12014","TOWN OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","26","0","0",""
"2021 Spring Primary","12016","TOWN OF SCOTT - CRAWFORD COUNTY","18","9","2","0"
"2021 Spring Primary","12018","TOWN OF SENECA - CRAWFORD COUNTY","17","13","3","0"
"2021 Spring Primary","12020","TOWN OF UTICA - CRAWFORD COUNTY","18","0","0",""
"2021 Spring Primary","12022","TOWN OF WAUZEKA - CRAWFORD COUNTY","11","7","0","0"
"2021 Spring Primary","12106","VILLAGE OF BELL CENTER - CRAWFORD COUNTY","3","0","0",""
"2021 Spring Primary","12121","VILLAGE OF EASTMAN - CRAWFORD COUNTY","8","4","2","0"
"2021 Spring Primary","12126","VILLAGE OF FERRYVILLE - CRAWFORD COUNTY","9","2","2","0"
"2021 Spring Primary","12131","VILLAGE OF GAYS MILLS - CRAWFORD COUNTY","32","28","11","1"
"2021 Spring Primary","12146","VILLAGE OF LYNXVILLE - CRAWFORD COUNTY","2","2","2","0"
"2021 Spring Primary","12181","VILLAGE OF SOLDIERS GROVE - CRAWFORD COUNTY","6","0","0",""
"2021 Spring Primary","12182","VILLAGE OF STEUBEN - CRAWFORD COUNTY","1","0","0",""
"2021 Spring Primary","12191","VILLAGE OF WAUZEKA - CRAWFORD COUNTY","6","0","0",""
"2021 Spring Primary","12271","CITY OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","249","249","89","3"
"2021 Spring Primary","13002","TOWN OF ALBION - DANE COUNTY","75","65","22","0"
"2021 Spring Primary","13004","TOWN OF BERRY - DANE COUNTY","51","51","28","2"
"2021 Spring Primary","13006","TOWN OF BLACK EARTH - DANE COUNTY","44","44","24","0"
"2021 Spring Primary","13008","TOWN OF BLOOMING GROVE - DANE COUNTY","96","96","39","7"
"2021 Spring Primary","13010","TOWN OF BLUE MOUNDS - DANE COUNTY","72","72","30","1"
"2021 Spring Primary","13012","TOWN OF BRISTOL - DANE COUNTY","259","248","99","0"
"2021 Spring Primary","13014","TOWN OF BURKE - DANE COUNTY","174","174","78","2"
"2021 Spring Primary","13016","TOWN OF CHRISTIANA - DANE COUNTY","44","43","19","0"
"2021 Spring Primary","13018","TOWN OF COTTAGE GROVE - DANE COUNTY","263","263","103","8"
"2021 Spring Primary","13020","TOWN OF CROSS PLAINS - DANE COUNTY","88","87","44","0"
"2021 Spring Primary","13022","TOWN OF DANE - DANE COUNTY","53","53","27","0"
"2021 Spring Primary","13024","TOWN OF DEERFIELD - DANE COUNTY","77","77","21","0"
"2021 Spring Primary","13026","TOWN OF DUNKIRK - DANE COUNTY","94","94","31","2"
"2021 Spring Primary","13028","TOWN OF DUNN - DANE COUNTY","331","330","133","7"
"2021 Spring Primary","13032","TOWN OF MADISON - DANE COUNTY","289","289","100","12"
"2021 Spring Primary","13034","TOWN OF MAZOMANIE - DANE COUNTY","35","35","16","1"
"2021 Spring Primary","13036","TOWN OF MEDINA - DANE COUNTY","72","72","29","0"
"2021 Spring Primary","13038","TOWN OF MIDDLETON - DANE COUNTY","516","516","234","13"
"2021 Spring Primary","13040","TOWN OF MONTROSE - DANE COUNTY","61","61","35","6"
"2021 Spring Primary","13042","TOWN OF OREGON - DANE COUNTY","275","274","143","20"
"2021 Spring Primary","13044","TOWN OF PERRY - DANE COUNTY","55","55","39","0"
"2021 Spring Primary","13046","TOWN OF PLEASANT SPRINGS - DANE COUNTY","200","196","80","4"
"2021 Spring Primary","13048","TOWN OF PRIMROSE - DANE COUNTY","59","58","21","0"
"2021 Spring Primary","13050","TOWN OF ROXBURY - DANE COUNTY","88","88","45","3"
"2021 Spring Primary","13052","TOWN OF RUTLAND - DANE COUNTY","111","111","51","2"
"2021 Spring Primary","13054","TOWN OF SPRINGDALE - DANE COUNTY","146","146","59","1"
"2021 Spring Primary","13056","TOWN OF SPRINGFIELD - DANE COUNTY","122","122","49","0"
"2021 Spring Primary","13058","TOWN OF SUN PRAIRIE - DANE COUNTY","129","129","54","7"
"2021 Spring Primary","13060","TOWN OF VERMONT - DANE COUNTY","82","82","28","1"
"2021 Spring Primary","13062","TOWN OF VERONA - DANE COUNTY","199","199","56","1"
"2021 Spring Primary","13064","TOWN OF VIENNA - DANE COUNTY","80","80","36","7"
"2021 Spring Primary","13066","TOWN OF WESTPORT - DANE COUNTY","455","455","189","2"
"2021 Spring Primary","13070","TOWN OF YORK - DANE COUNTY","23","23","14","0"
"2021 Spring Primary","13106","VILLAGE OF BELLEVILLE - MULTIPLE COUNTIES","259","259","144","11"
"2021 Spring Primary","13107","VILLAGE OF BLACK EARTH - DANE COUNTY","81","81","24","2"
"2021 Spring Primary","13108","VILLAGE OF BLUE MOUNDS - DANE COUNTY","53","51","17","3"
"2021 Spring Primary","13109","VILLAGE OF BROOKLYN - MULTIPLE COUNTIES","59","59","20","1"
"2021 Spring Primary","13111","VILLAGE OF CAMBRIDGE - MULTIPLE COUNTIES","153","153","57","3"
"2021 Spring Primary","13112","VILLAGE OF COTTAGE GROVE - DANE COUNTY","534","533","210","7"
"2021 Spring Primary","13113","VILLAGE OF CROSS PLAINS - DANE COUNTY","185","184","73","7"
"2021 Spring Primary","13116","VILLAGE OF DANE - DANE COUNTY","70","62","29","1"
"2021 Spring Primary","13117","VILLAGE OF DEERFIELD - DANE COUNTY","113","113","37","0"
"2021 Spring Primary","13118","VILLAGE OF DEFOREST - DANE COUNTY","647","647","256","30"
"2021 Spring Primary","13151","VILLAGE OF MAPLE BLUFF - DANE COUNTY","167","167","72","7"
"2021 Spring Primary","13152","VILLAGE OF MARSHALL - DANE COUNTY","204","204","67","0"
"2021 Spring Primary","13153","VILLAGE OF MAZOMANIE - DANE COUNTY","126","126","41","0"
"2021 Spring Primary","13154","VILLAGE OF MCFARLAND - DANE COUNTY","698","698","312","34"
"2021 Spring Primary","13157","VILLAGE OF MOUNT HOREB - DANE COUNTY","550","550","192","17"
"2021 Spring Primary","13165","VILLAGE OF OREGON - DANE COUNTY","1071","1071","529","63"
"2021 Spring Primary","13176","VILLAGE OF ROCKDALE - DANE COUNTY","12","12","3","0"
"2021 Spring Primary","13181","VILLAGE OF SHOREWOOD HILLS - DANE COUNTY","321","321","142","3"
"2021 Spring Primary","13191","VILLAGE OF WAUNAKEE - DANE COUNTY","1144","1137","441","12"
"2021 Spring Primary","13196","VILLAGE OF WINDSOR - DANE COUNTY","587","587","276","18"
"2021 Spring Primary","13225","CITY OF FITCHBURG - DANE COUNTY","2351","2349","966","39"
"2021 Spring Primary","13251","CITY OF MADISON - DANE COUNTY","26745","26710","13488","612"
"2021 Spring Primary","13255","CITY OF MIDDLETON - DANE COUNTY","1645","1645","835","3"
"2021 Spring Primary","13258","CITY OF MONONA - DANE COUNTY","1110","1110","468","45"
"2021 Spring Primary","13281","CITY OF STOUGHTON - DANE COUNTY","1297","1293","511","1"
"2021 Spring Primary","13282","CITY OF SUN PRAIRIE - DANE COUNTY","2795","2783","1030","47"
"2021 Spring Primary","13286","CITY OF VERONA - DANE COUNTY","1070","1070","466","31"
"2021 Spring Primary","14002","TOWN OF ASHIPPUN - DODGE COUNTY","94","94","50","8"
"2021 Spring Primary","14004","TOWN OF BEAVER DAM - DODGE COUNTY","211","210","75","4"
"2021 Spring Primary","14006","TOWN OF BURNETT - DODGE COUNTY","15","14","5","0"
"2021 Spring Primary","14008","TOWN OF CALAMUS - DODGE COUNTY","26","26","14","0"
"2021 Spring Primary","14010","TOWN OF CHESTER - DODGE COUNTY","16","16","8","0"
"2021 Spring Primary","14012","TOWN OF CLYMAN - DODGE COUNTY","25","25","15","2"
"2021 Spring Primary","14014","TOWN OF ELBA - DODGE COUNTY","38","38","19","0"
"2021 Spring Primary","14016","TOWN OF EMMET - DODGE COUNTY","32","32","18","0"
"2021 Spring Primary","14018","TOWN OF FOX LAKE - DODGE COUNTY","45","45","14","0"
"2021 Spring Primary","14020","TOWN OF HERMAN - DODGE COUNTY","27","26","17","1"
"2021 Spring Primary","14022","TOWN OF HUBBARD - DODGE COUNTY","54","54","19","0"
"2021 Spring Primary","14024","TOWN OF HUSTISFORD - DODGE COUNTY","41","41","14","3"
"2021 Spring Primary","14026","TOWN OF LEBANON - DODGE COUNTY","47","47","25","3"
"2021 Spring Primary","14028","TOWN OF LEROY - DODGE COUNTY","26","26","17","0"
"2021 Spring Primary","14030","TOWN OF LOMIRA - DODGE COUNTY","21","21","11","0"
"2021 Spring Primary","14032","TOWN OF LOWELL - DODGE COUNTY","42","38","19","0"
"2021 Spring Primary","14034","TOWN OF OAK GROVE - DODGE COUNTY","34","34","20","2"
"2021 Spring Primary","14036","TOWN OF PORTLAND - DODGE COUNTY","20","20","9","0"
"2021 Spring Primary","14038","TOWN OF RUBICON - DODGE COUNTY","51","51","20","0"
"2021 Spring Primary","14040","TOWN OF SHIELDS - DODGE COUNTY","26","26","16","0"
"2021 Spring Primary","14042","TOWN OF THERESA - DODGE COUNTY","29","29","11","2"
"2021 Spring Primary","14044","TOWN OF TRENTON - DODGE COUNTY","26","26","13","1"
"2021 Spring Primary","14046","TOWN OF WESTFORD - DODGE COUNTY","54","54","18","0"
"2021 Spring Primary","14106","VILLAGE OF BROWNSVILLE - DODGE COUNTY","11","11","8","0"
"2021 Spring Primary","14111","VILLAGE OF CLYMAN - DODGE COUNTY","5","5","3","0"
"2021 Spring Primary","14136","VILLAGE OF HUSTISFORD - DODGE COUNTY","20","20","9","1"
"2021 Spring Primary","14141","VILLAGE OF IRON RIDGE - DODGE COUNTY","22","22","7","0"
"2021 Spring Primary","14143","VILLAGE OF KEKOSKEE - DODGE COUNTY","22","22","12","1"
"2021 Spring Primary","14146","VILLAGE OF LOMIRA - DODGE COUNTY","59","59","26","0"
"2021 Spring Primary","14147","VILLAGE OF LOWELL - DODGE COUNTY","2","2","0","0"
"2021 Spring Primary","14161","VILLAGE OF NEOSHO - DODGE COUNTY","17","5","4","0"
"2021 Spring Primary","14176","VILLAGE OF RANDOLPH - MULTIPLE COUNTIES","83","66","42","0"
"2021 Spring Primary","14177","VILLAGE OF REESEVILLE - DODGE COUNTY","16","16","11","1"
"2021 Spring Primary","14186","VILLAGE OF THERESA - DODGE COUNTY","69","69","29","2"
"2021 Spring Primary","14206","CITY OF BEAVER DAM - DODGE COUNTY","854","852","318","21"
"2021 Spring Primary","14226","CITY OF FOX LAKE - DODGE COUNTY","62","62","22","0"
"2021 Spring Primary","14236","CITY OF HORICON - DODGE COUNTY","205","205","84","0"
"2021 Spring Primary","14241","CITY OF JUNEAU - DODGE COUNTY","63","62","25","0"
"2021 Spring Primary","14251","CITY OF MAYVILLE - DODGE COUNTY","248","248","108","10"
"2021 Spring Primary","14292","CITY OF WAUPUN - MULTIPLE COUNTIES","153","151","132","0"
"2021 Spring Primary","15002","TOWN OF BAILEYS HARBOR - DOOR COUNTY","96","96","65","13"
"2021 Spring Primary","15004","TOWN OF BRUSSELS - DOOR COUNTY","24","24","12","1"
"2021 Spring Primary","15006","TOWN OF CLAY BANKS - DOOR COUNTY","16","16","1","0"
"2021 Spring Primary","15008","TOWN OF EGG HARBOR - DOOR COUNTY","61","61","23","2"
"2021 Spring Primary","15010","TOWN OF FORESTVILLE - DOOR COUNTY","42","40","12","0"
"2021 Spring Primary","15012","TOWN OF GARDNER - DOOR COUNTY","37","37","17","0"
"2021 Spring Primary","15014","TOWN OF GIBRALTAR - DOOR COUNTY","81","79","20","2"
"2021 Spring Primary","15016","TOWN OF JACKSONPORT - DOOR COUNTY","54","54","15","0"
"2021 Spring Primary","15018","TOWN OF LIBERTY GROVE - DOOR COUNTY","167","164","69","8"
"2021 Spring Primary","15020","TOWN OF NASEWAUPEE - DOOR COUNTY","69","69","30","0"
"2021 Spring Primary","15022","TOWN OF SEVASTOPOL - DOOR COUNTY","153","153","67","3"
"2021 Spring Primary","15024","TOWN OF STURGEON BAY - DOOR COUNTY","23","23","9","0"
"2021 Spring Primary","15026","TOWN OF UNION - DOOR COUNTY","20","19","11","0"
"2021 Spring Primary","15028","TOWN OF WASHINGTON - DOOR COUNTY","28","28","7","0"
"2021 Spring Primary","15118","VILLAGE OF EGG HARBOR - DOOR COUNTY","18","18","7","1"
"2021 Spring Primary","15121","VILLAGE OF EPHRAIM - DOOR COUNTY","18","18","7","1"
"2021 Spring Primary","15127","VILLAGE OF FORESTVILLE - DOOR COUNTY","25","23","4","0"
"2021 Spring Primary","15181","VILLAGE OF SISTER BAY - DOOR COUNTY","183","183","55","1"
"2021 Spring Primary","15281","CITY OF STURGEON BAY - DOOR COUNTY","527","525","179","22"
"2021 Spring Primary","16002","TOWN OF AMNICON - DOUGLAS COUNTY","46","46","14","2"
"2021 Spring Primary","16004","TOWN OF BENNETT - DOUGLAS COUNTY","24","24","8","0"
"2021 Spring Primary","16006","TOWN OF BRULE - DOUGLAS COUNTY","39","39","11","0"
"2021 Spring Primary","16008","TOWN OF CLOVERLAND - DOUGLAS COUNTY","3","3","1","0"
"2021 Spring Primary","16010","TOWN OF DAIRYLAND - DOUGLAS COUNTY","5","5","1","0"
"2021 Spring Primary","16012","TOWN OF GORDON - DOUGLAS COUNTY","32","32","3","0"
"2021 Spring Primary","16014","TOWN OF HAWTHORNE - DOUGLAS COUNTY","30","30","1","0"
"2021 Spring Primary","16016","TOWN OF HIGHLAND - DOUGLAS COUNTY","10","10","3","0"
"2021 Spring Primary","16018","TOWN OF LAKESIDE - DOUGLAS COUNTY","11","11","1","0"
"2021 Spring Primary","16020","TOWN OF MAPLE - DOUGLAS COUNTY","21","21","6","0"
"2021 Spring Primary","16022","TOWN OF OAKLAND - DOUGLAS COUNTY","64","64","23","0"
"2021 Spring Primary","16024","TOWN OF PARKLAND - DOUGLAS COUNTY","23","23","6","0"
"2021 Spring Primary","16026","TOWN OF SOLON SPRINGS - DOUGLAS COUNTY","29","29","13","0"
"2021 Spring Primary","16028","TOWN OF SUMMIT - DOUGLAS COUNTY","20","20","10","0"
"2021 Spring Primary","16030","TOWN OF SUPERIOR - DOUGLAS COUNTY","81","81","19","0"
"2021 Spring Primary","16032","TOWN OF WASCOTT - DOUGLAS COUNTY","31","31","7","0"
"2021 Spring Primary","16146","VILLAGE OF LAKE NEBAGAMON - DOUGLAS COUNTY","74","74","32","0"
"2021 Spring Primary","16165","VILLAGE OF OLIVER - DOUGLAS COUNTY","21","21","9","0"
"2021 Spring Primary","16171","VILLAGE OF POPLAR - DOUGLAS COUNTY","7","7","2","0"
"2021 Spring Primary","16181","VILLAGE OF SOLON SPRINGS - DOUGLAS COUNTY","18","18","1","0"
"2021 Spring Primary","16182","VILLAGE OF SUPERIOR - DOUGLAS COUNTY","43","43","7","0"
"2021 Spring Primary","16281","CITY OF SUPERIOR - DOUGLAS COUNTY","2030","2027","834","14"
"2021 Spring Primary","17002","TOWN OF COLFAX - DUNN COUNTY","28","28","10","0"
"2021 Spring Primary","17004","TOWN OF DUNN - DUNN COUNTY","84","84","54","7"
"2021 Spring Primary","17006","TOWN OF EAU GALLE - DUNN COUNTY","15","15","4","0"
"2021 Spring Primary","17008","TOWN OF ELK MOUND - DUNN COUNTY","45","45","13","0"
"2021 Spring Primary","17010","TOWN OF GRANT - DUNN COUNTY","10","10","0","0"
"2021 Spring Primary","17012","TOWN OF HAY RIVER - DUNN COUNTY","25","25","9","0"
"2021 Spring Primary","17014","TOWN OF LUCAS - DUNN COUNTY","19","19","7","0"
"2021 Spring Primary","17016","TOWN OF MENOMONIE - DUNN COUNTY","172","171","89","0"
"2021 Spring Primary","17018","TOWN OF NEW HAVEN - DUNN COUNTY","12","12","4","0"
"2021 Spring Primary","17020","TOWN OF OTTER CREEK - DUNN COUNTY","8","8","5","0"
"2021 Spring Primary","17022","TOWN OF PERU - DUNN COUNTY","4","3","1","1"
"2021 Spring Primary","17024","TOWN OF RED CEDAR - DUNN COUNTY","82","82","54","0"
"2021 Spring Primary","17026","TOWN OF ROCK CREEK - DUNN COUNTY","20","20","6","0"
"2021 Spring Primary","17028","TOWN OF SAND CREEK - DUNN COUNTY","14","0","0",""
"2021 Spring Primary","17030","TOWN OF SHERIDAN - DUNN COUNTY","6","6","2","0"
"2021 Spring Primary","17032","TOWN OF SHERMAN - DUNN COUNTY","23","23","8","0"
"2021 Spring Primary","17034","TOWN OF SPRING BROOK - DUNN COUNTY","36","36","10","0"
"2021 Spring Primary","17036","TOWN OF STANTON - DUNN COUNTY","23","23","10","0"
"2021 Spring Primary","17038","TOWN OF TAINTER - DUNN COUNTY","119","118","50","4"
"2021 Spring Primary","17040","TOWN OF TIFFANY - DUNN COUNTY","10","10","1","0"
"2021 Spring Primary","17042","TOWN OF WESTON - DUNN COUNTY","10","10","2","0"
"2021 Spring Primary","17044","TOWN OF WILSON - DUNN COUNTY","11","11","6","0"
"2021 Spring Primary","17106","VILLAGE OF BOYCEVILLE - DUNN COUNTY","15","15","7","2"
"2021 Spring Primary","17111","VILLAGE OF COLFAX - DUNN COUNTY","43","43","15","0"
"2021 Spring Primary","17116","VILLAGE OF DOWNING - DUNN COUNTY","3","3","0","0"
"2021 Spring Primary","17121","VILLAGE OF ELK MOUND - DUNN COUNTY","35","35","14","0"
"2021 Spring Primary","17141","VILLAGE OF KNAPP - DUNN COUNTY","17","17","6","0"
"2021 Spring Primary","17176","VILLAGE OF RIDGELAND - DUNN COUNTY","5","5","2","0"
"2021 Spring Primary","17191","VILLAGE OF WHEELER - DUNN COUNTY","6","5","0","0"
"2021 Spring Primary","17251","CITY OF MENOMONIE - DUNN COUNTY","852","852","378","37"
"2021 Spring Primary","18002","TOWN OF BRIDGE CREEK - EAU CLAIRE COUNTY","36","34","11","0"
"2021 Spring Primary","18004","TOWN OF BRUNSWICK - EAU CLAIRE COUNTY","62","62","28","0"
"2021 Spring Primary","18006","TOWN OF CLEAR CREEK - EAU CLAIRE COUNTY","27","27","1","0"
"2021 Spring Primary","18008","TOWN OF DRAMMEN - EAU CLAIRE COUNTY","26","25","13","0"
"2021 Spring Primary","18010","TOWN OF FAIRCHILD - EAU CLAIRE COUNTY","7","7","0","0"
"2021 Spring Primary","18012","TOWN OF LINCOLN - EAU CLAIRE COUNTY","25","25","4","0"
"2021 Spring Primary","18014","TOWN OF LUDINGTON - EAU CLAIRE COUNTY","16","12","0","0"
"2021 Spring Primary","18016","TOWN OF OTTER CREEK - EAU CLAIRE COUNTY","8","8","0","0"
"2021 Spring Primary","18018","TOWN OF PLEASANT VALLEY - EAU CLAIRE COUNTY","94","94","40","4"
"2021 Spring Primary","18020","TOWN OF SEYMOUR - EAU CLAIRE COUNTY","88","88","41","2"
"2021 Spring Primary","18022","TOWN OF UNION - EAU CLAIRE COUNTY","111","110","29","3"
"2021 Spring Primary","18024","TOWN OF WASHINGTON - EAU CLAIRE COUNTY","227","227","105","22"
"2021 Spring Primary","18026","TOWN OF WILSON - EAU CLAIRE COUNTY","4","4","0","0"
"2021 Spring Primary","18126","VILLAGE OF FAIRCHILD - EAU CLAIRE COUNTY","6","6","1","0"
"2021 Spring Primary","18127","VILLAGE OF FALL CREEK - EAU CLAIRE COUNTY","44","43","11","0"
"2021 Spring Primary","18201","CITY OF ALTOONA - EAU CLAIRE COUNTY","575","575","200","16"
"2021 Spring Primary","18202","CITY OF AUGUSTA - EAU CLAIRE COUNTY","33","33","4","0"
"2021 Spring Primary","18221","CITY OF EAU CLAIRE - MULTIPLE COUNTIES","2777","2776","1288","182"
"2021 Spring Primary","19002","TOWN OF AURORA - FLORENCE COUNTY","23","0","0",""
"2021 Spring Primary","19004","TOWN OF COMMONWEALTH - FLORENCE COUNTY","8","8","4","0"
"2021 Spring Primary","19006","TOWN OF FENCE - FLORENCE COUNTY","1","0","0",""
"2021 Spring Primary","19008","TOWN OF FERN - FLORENCE COUNTY","16","0","0",""
"2021 Spring Primary","19010","TOWN OF FLORENCE - FLORENCE COUNTY","122","122","69","2"
"2021 Spring Primary","19012","TOWN OF HOMESTEAD - FLORENCE COUNTY","16","13","2","0"
"2021 Spring Primary","19014","TOWN OF LONG LAKE - FLORENCE COUNTY","13","13","0","0"
"2021 Spring Primary","19016","TOWN OF TIPLER - FLORENCE COUNTY","5","0","0",""
"2021 Spring Primary","20002","TOWN OF ALTO - FOND DU LAC COUNTY","9","9","3","0"
"2021 Spring Primary","20004","TOWN OF ASHFORD - FOND DU LAC COUNTY","65","46","18","0"
"2021 Spring Primary","20006","TOWN OF AUBURN - FOND DU LAC COUNTY","27","27","14","3"
"2021 Spring Primary","20008","TOWN OF BYRON - FOND DU LAC COUNTY","65","62","39","0"
"2021 Spring Primary","20010","TOWN OF CALUMET - FOND DU LAC COUNTY","67","52","35","0"
"2021 Spring Primary","20012","TOWN OF EDEN - FOND DU LAC COUNTY","17","17","6","3"
"2021 Spring Primary","20014","TOWN OF ELDORADO - FOND DU LAC COUNTY","56","56","20","0"
"2021 Spring Primary","20016","TOWN OF EMPIRE - FOND DU LAC COUNTY","236","205","109","1"
"2021 Spring Primary","20018","TOWN OF FOND DU LAC - FOND DU LAC COUNTY","262","257","142","8"
"2021 Spring Primary","20020","TOWN OF FOREST - FOND DU LAC COUNTY","29","29","22","0"
"2021 Spring Primary","20022","TOWN OF FRIENDSHIP - FOND DU LAC COUNTY","131","131","50","0"
"2021 Spring Primary","20024","TOWN OF LAMARTINE - FOND DU LAC COUNTY","45","40","11","0"
"2021 Spring Primary","20026","TOWN OF MARSHFIELD - FOND DU LAC COUNTY","59","59","31","0"
"2021 Spring Primary","20028","TOWN OF METOMEN - FOND DU LAC COUNTY","19","14","8","1"
"2021 Spring Primary","20030","TOWN OF OAKFIELD - FOND DU LAC COUNTY","18","18","11","0"
"2021 Spring Primary","20032","TOWN OF OSCEOLA - FOND DU LAC COUNTY","68","68","28","4"
"2021 Spring Primary","20034","TOWN OF RIPON - FOND DU LAC COUNTY","37","34","15","0"
"2021 Spring Primary","20036","TOWN OF ROSENDALE - FOND DU LAC COUNTY","17","16","12","3"
"2021 Spring Primary","20038","TOWN OF SPRINGVALE - FOND DU LAC COUNTY","21","20","11","0"
"2021 Spring Primary","20040","TOWN OF TAYCHEEDAH - FOND DU LAC COUNTY","225","149","78","8"
"2021 Spring Primary","20042","TOWN OF WAUPUN - FOND DU LAC COUNTY","28","23","13","2"
"2021 Spring Primary","20106","VILLAGE OF BRANDON - FOND DU LAC COUNTY","11","11","8","0"
"2021 Spring Primary","20111","VILLAGE OF CAMPBELLSPORT - FOND DU LAC COUNTY","36","33","9","0"
"2021 Spring Primary","20121","VILLAGE OF EDEN - FOND DU LAC COUNTY","10","9","1","0"
"2021 Spring Primary","20126","VILLAGE OF FAIRWATER - FOND DU LAC COUNTY","6","6","2","0"
"2021 Spring Primary","20151","VILLAGE OF MOUNT CALVARY - FOND DU LAC COUNTY","22","22","15","3"
"2021 Spring Primary","20161","VILLAGE OF NORTH FOND DU LAC - FOND DU LAC COUNTY","211","205","102","0"
"2021 Spring Primary","20165","VILLAGE OF OAKFIELD - FOND DU LAC COUNTY","27","24","3","1"
"2021 Spring Primary","20176","VILLAGE OF ROSENDALE - FOND DU LAC COUNTY","16","16","13","2"
"2021 Spring Primary","20181","VILLAGE OF ST. CLOUD - FOND DU LAC COUNTY","15","15","6","0"
"2021 Spring Primary","20226","CITY OF FOND DU LAC - FOND DU LAC COUNTY","2690","2688","1547","222"
"2021 Spring Primary","20276","CITY OF RIPON - FOND DU LAC COUNTY","294","294","120","5"
"2021 Spring Primary","21002","TOWN OF ALVIN - FOREST COUNTY","5","0","0",""
"2021 Spring Primary","21004","TOWN OF ARGONNE - FOREST COUNTY","28","25","12","0"
"2021 Spring Primary","21006","TOWN OF ARMSTRONG CREEK - FOREST COUNTY","5","4","1","0"
"2021 Spring Primary","21008","TOWN OF BLACKWELL - FOREST COUNTY","3","3","1","1"
"2021 Spring Primary","21010","TOWN OF CASWELL - FOREST COUNTY","2","0","0",""
"2021 Spring Primary","21012","TOWN OF CRANDON - FOREST COUNTY","22","18","6","0"
"2021 Spring Primary","21014","TOWN OF FREEDOM - FOREST COUNTY","16","15","11","0"
"2021 Spring Primary","21016","TOWN OF HILES - FOREST COUNTY","38","38","20","0"
"2021 Spring Primary","21018","TOWN OF LAONA - FOREST COUNTY","60","60","38","2"
"2021 Spring Primary","21020","TOWN OF LINCOLN - FOREST COUNTY","40","40","0","0"
"2021 Spring Primary","21022","TOWN OF NASHVILLE - FOREST COUNTY","27","26","10","0"
"2021 Spring Primary","21024","TOWN OF POPPLE RIVER - FOREST COUNTY","1","0","0",""
"2021 Spring Primary","21026","TOWN OF ROSS - FOREST COUNTY","1","0","0",""
"2021 Spring Primary","21028","TOWN OF WABENO - FOREST COUNTY","22","12","7","0"
"2021 Spring Primary","21211","CITY OF CRANDON - FOREST COUNTY","67","66","23","0"
"2021 Spring Primary","22002","TOWN OF BEETOWN - GRANT COUNTY","9","9","3","0"
"2021 Spring Primary","22004","TOWN OF BLOOMINGTON - GRANT COUNTY","6","6","4","0"
"2021 Spring Primary","22006","TOWN OF BOSCOBEL - GRANT COUNTY","19","7","2","0"
"2021 Spring Primary","22008","TOWN OF CASSVILLE - GRANT COUNTY","3","1","1","0"
"2021 Spring Primary","22010","TOWN OF CASTLE ROCK - GRANT COUNTY","6","6","3","0"
"2021 Spring Primary","22012","TOWN OF CLIFTON - GRANT COUNTY","2","0","0",""
"2021 Spring Primary","22014","TOWN OF ELLENBORO - GRANT COUNTY","8","8","5","0"
"2021 Spring Primary","22016","TOWN OF FENNIMORE - GRANT COUNTY","7","0","0",""
"2021 Spring Primary","22018","TOWN OF GLEN HAVEN - GRANT COUNTY","1","0","0",""
"2021 Spring Primary","22020","TOWN OF HARRISON - GRANT COUNTY","19","19","6","0"
"2021 Spring Primary","22022","TOWN OF HAZEL GREEN - GRANT COUNTY","170","6","0","0"
"2021 Spring Primary","22024","TOWN OF HICKORY GROVE - GRANT COUNTY","6","1","0","0"
"2021 Spring Primary","22026","TOWN OF JAMESTOWN - GRANT COUNTY","35","34","11","0"
"2021 Spring Primary","22028","TOWN OF LIBERTY - GRANT COUNTY","4","3","0","0"
"2021 Spring Primary","22030","TOWN OF LIMA - GRANT COUNTY","34","33","14","0"
"2021 Spring Primary","22032","TOWN OF LITTLE GRANT - GRANT COUNTY","5","3","1","0"
"2021 Spring Primary","22034","TOWN OF MARION - GRANT COUNTY","10","10","2","0"
"2021 Spring Primary","22036","TOWN OF MILLVILLE - GRANT COUNTY","3","0","0",""
"2021 Spring Primary","22038","TOWN OF MOUNT HOPE - GRANT COUNTY","1","0","0",""
"2021 Spring Primary","22040","TOWN OF MOUNT IDA - GRANT COUNTY","5","5","3","0"
"2021 Spring Primary","22042","TOWN OF MUSCODA - GRANT COUNTY","10","0","0",""
"2021 Spring Primary","22044","TOWN OF NORTH LANCASTER - GRANT COUNTY","14","14","5","0"
"2021 Spring Primary","22046","TOWN OF PARIS - GRANT COUNTY","8","0","0",""
"2021 Spring Primary","22048","TOWN OF PATCH GROVE - GRANT COUNTY","1","1","1","0"
"2021 Spring Primary","22050","TOWN OF PLATTEVILLE - GRANT COUNTY","66","0","0",""
"2021 Spring Primary","22052","TOWN OF POTOSI - GRANT COUNTY","10","5","1","0"
"2021 Spring Primary","22054","TOWN OF SMELSER - GRANT COUNTY","35","35","20","0"
"2021 Spring Primary","22056","TOWN OF SOUTH LANCASTER - GRANT COUNTY","25","12","7","0"
"2021 Spring Primary","22058","TOWN OF WATERLOO - GRANT COUNTY","6","6","0","0"
